epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,140.193,2.70986,4.16338,3.3075,0.16065,0.14487,0.06521,0.0236,2.28408,3.6814,2.50929,0.00333098,0.00333098,0.0700212
2,258.931,1.941,3.03897,2.06186,0.3547,0.25463,0.21382,0.08807,1.98883,3.01188,1.96764,0.00653236,0.00653236,0.0398892
3,379.285,1.81315,2.71787,1.8455,0.33202,0.27658,0.22335,0.09371,1.96204,3.11011,1.90073,0.00960174,0.00960174,0.00962525
4,496.205,1.75718,2.5171,1.74971,0.52163,0.33391,0.35913,0.17239,1.83723,2.52145,1.73701,0.009406,0.009406,0.009406
5,613.786,1.71234,2.39004,1.69199,0.55575,0.38492,0.41333,0.20436,1.78819,2.3377,1.67021,0.009208,0.009208,0.009208
6,732.082,1.68428,2.32252,1.66002,0.57436,0.38952,0.43107,0.21815,1.76577,2.26665,1.64548,0.00901,0.00901,0.00901
7,852.146,1.66801,2.26509,1.63985,0.60027,0.39511,0.44589,0.23073,1.71533,2.22932,1.59708,0.008812,0.008812,0.008812
8,969.271,1.66353,2.22807,1.62825,0.60923,0.41051,0.46478,0.24203,1.71776,2.16798,1.58801,0.008614,0.008614,0.008614
9,1084.4,1.65623,2.19491,1.61178,0.60834,0.42476,0.47418,0.24844,1.70126,2.11898,1.56876,0.008416,0.008416,0.008416
10,1200.12,1.6485,2.17197,1.60355,0.61005,0.42833,0.4806,0.25381,1.69198,2.09621,1.55544,0.008218,0.008218,0.008218
11,1315.35,1.64319,2.14853,1.59551,0.61558,0.43297,0.48496,0.25666,1.68986,2.08612,1.55391,0.00802,0.00802,0.00802
12,1430.66,1.64094,2.12787,1.58857,0.6206,0.43482,0.4882,0.25908,1.68569,2.07718,1.54418,0.007822,0.007822,0.007822
13,1545.66,1.62949,2.11976,1.58156,0.6277,0.43393,0.49017,0.26056,1.68507,2.07372,1.54451,0.007624,0.007624,0.007624
14,1660.29,1.62669,2.10572,1.57866,0.63122,0.43119,0.49135,0.26115,1.68337,2.07139,1.54244,0.007426,0.007426,0.007426
15,1775.74,1.62273,2.09483,1.57452,0.63577,0.4288,0.49216,0.26152,1.682,2.07403,1.54163,0.007228,0.007228,0.007228
16,1890.48,1.61234,2.08604,1.56535,0.63801,0.42648,0.49212,0.26142,1.68041,2.08163,1.53958,0.00703,0.00703,0.00703
17,2005.19,1.61529,2.07648,1.55831,0.63934,0.42386,0.49172,0.26133,1.67303,2.08733,1.53379,0.006832,0.006832,0.006832
18,2119.06,1.61125,2.06486,1.55609,0.64326,0.42247,0.49127,0.26093,1.66945,2.09261,1.52969,0.006634,0.006634,0.006634
19,2233.51,1.6106,2.05436,1.55155,0.64402,0.42203,0.49021,0.26093,1.67137,2.10093,1.52937,0.006436,0.006436,0.006436
20,2348.29,1.60462,2.04553,1.55129,0.64958,0.41872,0.48863,0.25974,1.67336,2.11888,1.53171,0.006238,0.006238,0.006238
21,2462.1,1.59763,2.03909,1.54306,0.6571,0.41454,0.48747,0.25912,1.67456,2.13309,1.53131,0.00604,0.00604,0.00604
22,2576.9,1.5985,2.03203,1.54006,0.6567,0.41345,0.48561,0.25797,1.67765,2.15388,1.53295,0.005842,0.005842,0.005842
23,2690.67,1.59078,2.02699,1.5355,0.66222,0.40822,0.48246,0.2565,1.68083,2.17773,1.534,0.005644,0.005644,0.005644
24,2804.74,1.58976,2.01544,1.53463,0.65988,0.40501,0.47958,0.25473,1.6845,2.19951,1.5374,0.005446,0.005446,0.005446
25,2918.18,1.58569,2.00926,1.52603,0.65964,0.39976,0.47629,0.25343,1.68346,2.22088,1.53609,0.005248,0.005248,0.005248
26,3031.89,1.58082,1.99998,1.52292,0.66513,0.39511,0.47379,0.25184,1.68279,2.24455,1.53526,0.00505,0.00505,0.00505
27,3146.31,1.5802,1.9956,1.5188,0.66801,0.38958,0.47026,0.24979,1.68642,2.27047,1.53671,0.004852,0.004852,0.004852
28,3260.54,1.58071,1.98335,1.51899,0.6681,0.385,0.46607,0.2472,1.68978,2.29584,1.53923,0.004654,0.004654,0.004654
29,3374.53,1.5728,1.97864,1.51315,0.67379,0.37806,0.46212,0.24539,1.68959,2.32395,1.53864,0.004456,0.004456,0.004456
30,3489.07,1.56746,1.97549,1.50914,0.67803,0.37144,0.45853,0.24286,1.6892,2.35161,1.53837,0.004258,0.004258,0.004258
31,3602.81,1.56784,1.96159,1.50318,0.68505,0.36286,0.45401,0.24054,1.68992,2.38056,1.53798,0.00406,0.00406,0.00406
32,3716.98,1.56515,1.95595,1.50293,0.69177,0.35414,0.44822,0.23767,1.69205,2.41371,1.53956,0.003862,0.003862,0.003862
33,3830.39,1.56375,1.94714,1.49652,0.69831,0.34594,0.44367,0.2352,1.69387,2.44472,1.53932,0.003664,0.003664,0.003664
34,3944.67,1.56202,1.94291,1.49736,0.70317,0.33543,0.439,0.23277,1.69645,2.47847,1.5406,0.003466,0.003466,0.003466
35,4058.33,1.55539,1.93244,1.49028,0.71377,0.3257,0.43357,0.22996,1.69905,2.51694,1.54098,0.003268,0.003268,0.003268
