epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,156.934,2.84524,4.74842,0.05013,0.20155,0.1583,0.0837,0.02968,2.20037,3.69321,0.02987,0.00333098,0.00333098,0.0700212
2,294.612,1.88125,3.03087,0.02372,0.36532,0.26767,0.24024,0.09848,1.95728,2.94298,0.02563,0.00653236,0.00653236,0.0398892
3,432.742,1.81292,2.60523,0.02219,0.45585,0.31049,0.30338,0.13008,1.97893,2.65962,0.02611,0.00960174,0.00960174,0.00962525
4,570.179,1.79263,2.3884,0.02144,0.56476,0.38086,0.41512,0.20165,1.8569,2.28287,0.02364,0.009406,0.009406,0.009406
5,707.535,1.74706,2.23499,0.02054,0.62501,0.41496,0.46793,0.23547,1.78376,2.14829,0.02237,0.009208,0.009208,0.009208
6,844.989,1.72261,2.14725,0.02014,0.62379,0.43517,0.48983,0.25551,1.72151,2.06829,0.02103,0.00901,0.00901,0.00901
7,982.055,1.70677,2.08703,0.01973,0.63686,0.45191,0.5121,0.27122,1.72524,1.99555,0.02135,0.008812,0.008812,0.008812
8,1119.01,1.69531,2.04116,0.01955,0.66068,0.46128,0.52658,0.28125,1.71985,1.93475,0.02156,0.008614,0.008614,0.008614
9,1256.7,1.68912,2.00702,0.01931,0.66354,0.47274,0.5374,0.28986,1.70056,1.88886,0.02111,0.008416,0.008416,0.008416
10,1393.74,1.68025,1.97996,0.01919,0.67776,0.4728,0.5445,0.29574,1.68887,1.86924,0.02084,0.008218,0.008218,0.008218
11,1533.88,1.67581,1.9557,0.01909,0.67884,0.4789,0.55072,0.30007,1.68366,1.8466,0.0207,0.00802,0.00802,0.00802
12,1671.31,1.66581,1.93682,0.01891,0.676,0.48374,0.55379,0.30249,1.67725,1.83523,0.02058,0.007822,0.007822,0.007822
