epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,100.381,1.28254,1.51059,1.33393,0.68294,0.50201,0.56423,0.31232,1.4933,1.48318,1.34559,0.00333098,0.00333098,0.0700212
2,198.331,1.34142,1.40568,1.38512,0.64658,0.46574,0.51965,0.27576,1.63621,1.59063,1.46149,0.00653236,0.00653236,0.0398892
3,297.32,1.43819,1.54528,1.47626,0.61466,0.41776,0.46213,0.2444,1.66468,1.72414,1.54661,0.00960174,0.00960174,0.00962525
4,395.467,1.4469,1.54625,1.50165,0.66299,0.47839,0.54092,0.29297,1.60033,1.50982,1.46287,0.009406,0.009406,0.009406
5,494.573,1.3908,1.45313,1.46464,0.70249,0.51333,0.5968,0.34273,1.46461,1.35851,1.36667,0.009208,0.009208,0.009208
6,592.997,1.36472,1.40412,1.44484,0.71331,0.52682,0.60909,0.35489,1.4457,1.31389,1.34274,0.00901,0.00901,0.00901
7,693.266,1.34488,1.37237,1.42531,0.72175,0.5489,0.63082,0.37712,1.38788,1.24237,1.30431,0.008812,0.008812,0.008812
8,793.377,1.32946,1.34711,1.41695,0.73034,0.55227,0.63823,0.3869,1.34958,1.2137,1.28481,0.008614,0.008614,0.008614
9,891.401,1.31947,1.33516,1.41066,0.73121,0.56238,0.64698,0.39703,1.32301,1.19285,1.26772,0.008416,0.008416,0.008416
10,990.454,1.31032,1.31747,1.40117,0.74596,0.562,0.65264,0.40458,1.30093,1.17317,1.25566,0.008218,0.008218,0.008218
11,1090.23,1.30375,1.31223,1.39657,0.7523,0.56073,0.65514,0.4086,1.29138,1.16364,1.25096,0.00802,0.00802,0.00802
12,1189.57,1.29734,1.2972,1.39102,0.74943,0.56493,0.65808,0.4121,1.28094,1.15391,1.24512,0.007822,0.007822,0.007822
13,1287.94,1.29375,1.28844,1.38799,0.74445,0.57123,0.66037,0.4139,1.27796,1.14801,1.2415,0.007624,0.007624,0.007624
14,1387.96,1.28668,1.27932,1.384,0.74783,0.57422,0.66239,0.41522,1.27535,1.14436,1.23921,0.007426,0.007426,0.007426
15,1487.59,1.28214,1.27351,1.37802,0.75108,0.57479,0.66381,0.4167,1.27196,1.1398,1.23669,0.007228,0.007228,0.007228
16,1587.37,1.27667,1.2664,1.37513,0.7508,0.5743,0.66443,0.41755,1.26975,1.13642,1.23473,0.00703,0.00703,0.00703
17,1686.78,1.27184,1.25715,1.37162,0.7501,0.57657,0.6653,0.41814,1.26721,1.13408,1.23282,0.006832,0.006832,0.006832
18,1786.92,1.27163,1.25355,1.36857,0.75428,0.57558,0.66699,0.41967,1.264,1.13087,1.23067,0.006634,0.006634,0.006634
